Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1985,1985,hg/ha,1846,Fc,2016,6439
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1986,1986,hg/ha,1846,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1987,1987,hg/ha,2000,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1988,1988,hg/ha,2256,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1989,1989,hg/ha,3008,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1990,1990,hg/ha,2312,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1991,1991,hg/ha,3092,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1992,1992,hg/ha,3218,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1993,1993,hg/ha,3333,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1994,1994,hg/ha,3424,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1995,1995,hg/ha,3549,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1996,1996,hg/ha,3614,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1997,1997,hg/ha,3636,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1998,1998,hg/ha,3604,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,1999,1999,hg/ha,3613,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2000,2000,hg/ha,3603,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2001,2001,hg/ha,5699,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2002,2002,hg/ha,5700,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2003,2003,hg/ha,5727,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2004,2004,hg/ha,5553,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2005,2005,hg/ha,5913,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2006,2006,hg/ha,5780,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2007,2007,hg/ha,5799,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2008,2008,hg/ha,5898,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2009,2009,hg/ha,5939,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2010,2010,hg/ha,4446,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2011,2011,hg/ha,4384,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2012,2012,hg/ha,5166,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2013,2013,hg/ha,5332,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2014,2014,hg/ha,4543,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2015,2015,hg/ha,4146,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5419,Yield,2016,2016,hg/ha,5312,Fc,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1961,1961,tonnes,280,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1962,1962,tonnes,290,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1963,1963,tonnes,300,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1964,1964,tonnes,310,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1965,1965,tonnes,320,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1966,1966,tonnes,330,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1967,1967,tonnes,340,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1968,1968,tonnes,350,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1969,1969,tonnes,410,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1970,1970,tonnes,407,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1971,1971,tonnes,550,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1972,1972,tonnes,450,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1973,1973,tonnes,589,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1974,1974,tonnes,520,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1975,1975,tonnes,600,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1976,1976,tonnes,900,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1977,1977,tonnes,900,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1978,1978,tonnes,900,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1979,1979,tonnes,900,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1980,1980,tonnes,800,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1981,1981,tonnes,800,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1982,1982,tonnes,1000,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1983,1983,tonnes,1000,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1984,1984,tonnes,1100,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1985,1985,tonnes,1200,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1986,1986,tonnes,1200,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1987,1987,tonnes,1300,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1988,1988,tonnes,1500,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1989,1989,tonnes,2000,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1990,1990,tonnes,1500,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1991,1991,tonnes,2000,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1992,1992,tonnes,2199,Im,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1993,1993,tonnes,2500,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1994,1994,tonnes,2700,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1995,1995,tonnes,2925,Im,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1996,1996,tonnes,3000,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1997,1997,tonnes,4000,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1998,1998,tonnes,4505,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,1999,1999,tonnes,4335,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2000,2000,tonnes,4900,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2001,2001,tonnes,6080,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2002,2002,tonnes,6179,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2003,2003,tonnes,6300,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2004,2004,tonnes,6500,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2005,2005,tonnes,6800,F,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2006,2006,tonnes,6646,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2007,2007,tonnes,6792,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2008,2008,tonnes,7086,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2009,2009,tonnes,7037,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2010,2010,tonnes,5231,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2011,2011,tonnes,5517,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2012,2012,tonnes,6026,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2013,2013,tonnes,7000,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2014,2014,tonnes,5225,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2015,2015,tonnes,5166,,,
Nepal,"Nutmeg, mace and cardamoms",5510,Production,2016,2016,tonnes,6439,,,
